date,sport,mkt,matchup,side,agsTier,units,staked,outcome,top2Pct,meanPct,nFor,forWallets
2026-06-27,MLB,ML,"Texas Rangers @ Toronto Blue Jays",home,PREMIUM,4,1,LOSS,67.88,64.24,3,"ad88a3:70%,5b1e50:65%"
2026-06-27,SOC,ML,"Argentina @ Jordan",away,ELITE,4,1,WIN,69.6,62.8,3,"2d2ca8:74%,5b1e50:65%"
2026-06-27,SOC,ML,"England @ Panama",away,ELITE,5,1,WIN,63.94,53.08,5,"5b1e50:65%,946418:63%"
2026-06-27,SOC,ML,"Ghana @ Croatia",home,WEAK,3,1,WIN,70.6,54.6,11,"2d2ca8:74%,eeabaf:67%"
2026-06-27,SOC,ML,"Uzbekistan @ DR Congo",home,LEAN,5,1,WIN,68.73,60.3,4,"bc44b0:70%,eeabaf:67%"
2026-06-28,MLB,ML,"Athletics @ Los Angeles Angels",away,PREMIUM,5,1,LOSS,66.1,59.22,4,"ad88a3:68%,5b1e50:64%"
2026-06-28,MLB,ML,"Texas Rangers @ Toronto Blue Jays",away,LOCK,4,1,WIN,66.97,66.09,3,"0f9d74:67%,eeabaf:67%"
2026-06-28,SOC,ML,"Canada @ South Africa",away,ELITE,1,1,WIN,79.1,59.1,20,"348973:79%,f9e3d0:79%"
2026-06-29,MLB,ML,"San Francisco Giants @ Arizona Diamondbacks",home,WEAK,4,1,WIN,56.5,56.5,2,"5b1e50:64%,b839b3:49%"
2026-06-29,SOC,ML,"Japan @ Brazil",home,WEAK,4,1,WIN,69.37,50.72,16,"99059d:71%,0f9d74:67%"
2026-06-29,SOC,ML,"Paraguay @ Germany",home,LEAN,5,1,LOSS,73.06,55.03,8,"af1697:75%,99059d:71%"
2026-06-30,MLB,ML,"Chicago White Sox @ Baltimore Orioles",away,PREMIUM,4,1,WIN,60.05,56.88,3,"7703d4:64%,cd2f63:56%"
