date,sport,mkt,matchup,side,agsTier,units,staked,tracked,outcome,top2Pct,nFor
2026-06-15,MLB,ML,"Los Angeles Angels @ Arizona Diamondbacks",away,LEAN,0,0,1,LOSS,77.27,5
2026-06-15,MLB,ML,"Miami Marlins @ Philadelphia Phillies",away,LEAN,0,0,1,LOSS,74.07,2
2026-06-15,MLB,ML,"Minnesota Twins @ Texas Rangers",home,WEAK,0,0,1,LOSS,58.33,3
2026-06-15,MLB,ML,"New York Mets @ Cincinnati Reds",home,LEAN,3,1,0,WIN,68.19,4
2026-06-15,MLB,ML,"San Diego Padres @ St. Louis Cardinals",home,LEAN,0,0,1,WIN,73.68,8
2026-06-15,MLB,ML,"Tampa Bay Rays @ Los Angeles Dodgers",home,WEAK,0,0,1,WIN,39.53,1
2026-06-15,SOC,ML,"Cabo Verde @ Spain",home,FADE,0,0,1,LOSS,78.1,8
2026-06-15,SOC,ML,"New Zealand @ IR Iran",home,WEAK,0,0,1,LOSS,75.96,9
2026-06-16,MLB,ML,"Baltimore Orioles @ Seattle Mariners",home,LOCK,0,0,1,WIN,58.8,1
2026-06-16,MLB,ML,"Cleveland Guardians @ Milwaukee Brewers",home,FADE,0,0,1,WIN,66.67,1
2026-06-16,MLB,ML,"Colorado Rockies @ Chicago Cubs",home,PREMIUM,0,0,1,LOSS,66.09,3
2026-06-16,MLB,ML,"Chicago White Sox @ New York Yankees",home,FADE,0,0,1,WIN,66.27,2
2026-06-16,MLB,ML,"Detroit Tigers @ Houston Astros",home,PREMIUM,4,1,0,WIN,80.53,8
2026-06-16,MLB,ML,"Kansas City Royals @ Washington Nationals",home,PREMIUM,6,1,0,WIN,73.83,8
2026-06-16,MLB,ML,"Los Angeles Angels @ Arizona Diamondbacks",away,WEAK,0,0,1,WIN,76.89,7
2026-06-16,MLB,ML,"Miami Marlins @ Philadelphia Phillies",home,LEAN,4,1,0,WIN,77.93,7
2026-06-16,MLB,ML,"Minnesota Twins @ Texas Rangers",away,FADE,0,0,1,WIN,66.67,1
2026-06-16,MLB,ML,"New York Mets @ Cincinnati Reds",away,LOCK,0,0,1,LOSS,66.54,3
2026-06-16,MLB,ML,"Pittsburgh Pirates @ Athletics",home,LEAN,0,0,1,LOSS,66.54,2
2026-06-16,MLB,ML,"San Diego Padres @ St. Louis Cardinals",away,LEAN,0,0,1,LOSS,62.73,2
2026-06-16,MLB,ML,"San Francisco Giants @ Atlanta Braves",home,LEAN,4,1,0,LOSS,74.76,7
2026-06-16,MLB,ML,"Tampa Bay Rays @ Los Angeles Dodgers",away,ELITE,0,0,1,LOSS,74.44,3
2026-06-16,MLB,ML,"Toronto Blue Jays @ Boston Red Sox",away,WEAK,0,0,1,WIN,73.83,6
2026-06-16,SOC,ML,"Norway @ Iraq",home,LOCK,0,0,1,LOSS,62.6,4
2026-06-17,MLB,ML,"Baltimore Orioles @ Seattle Mariners",away,WEAK,0,0,1,WIN,60,3
2026-06-17,MLB,ML,"Cleveland Guardians @ Milwaukee Brewers",away,PREMIUM,0,0,1,LOSS,63.25,3
2026-06-17,MLB,ML,"Colorado Rockies @ Chicago Cubs",home,FADE,0,0,1,WIN,69.92,4
2026-06-17,MLB,ML,"Chicago White Sox @ New York Yankees",home,ELITE,0,0,1,WIN,72.15,5
2026-06-17,MLB,ML,"Detroit Tigers @ Houston Astros",away,FADE,0,0,1,LOSS,72.26,3
2026-06-17,MLB,ML,"Kansas City Royals @ Washington Nationals",away,FADE,0,0,1,WIN,72.97,4
